"Fast Link for toolbox to hear voiceline ",,,"https://aceship.github.io/AN-EN-Tags/akhrchars.html",,"Please update the Translate Progress after finished editting",,
"char_130_doberm","Dobermann","信赖提升后交谈3","High Trust Conversation 3","要与博士共度艰难的时光，我就必须更加严格地要求自己。在这种环境下，想与你一起走得更远，唯一的出路，就只有无止尽地磨练自己的心性。","At any time, you must always strongly hold yourself to your own values. To walk through this environment with you, there's no choice but to make yourself stronger.","いつ如何なる時でも自らお厳しく理して以下はならない。この環境でドクターと歩むためにも、己を強く鍛えるのみだ。",
"char_130_doberm","Dobermann","闲置","Idle","不许偷懒！","Don't slack off!","サボるんじゃない！",
"char_130_doberm","Dobermann","干员报到","Operator Reporting In","敬礼！曾属玻利瓦尔国民警备队，我是教官杜宾。长话短说，请把需受训干员的名单给我看一下。","Order, arms! I am Dobermann, instructor of the Bolívar National Guard. I know it's quite soon, but I'll get right to the point. Start off by giving me a list of the people who need training.","敬礼！ボリバル国民警備隊教官、ドーベルマンだ。早速だが、単刀直入に行こう。まずは訓練が必要な者のリストを見せてくれ。",
"char_130_doberm","Dobermann","观看作战记录","Watching Combat Tape","这正是平时训练的成果。","This is also a result of habitual training.","これも日ごろの訓練の成果だ。",
"char_130_doberm","Dobermann","精英化晋升1","Elite 1","晋升啊，感谢。我不过是在履行自己的职责。","I am grateful for the promotion. But the thing is I'm only a devil, fulfilling their own goals.","昇進化、感謝する。ただ、私は悪魔で、自分の役目を果たしているに過ぎない。",
"char_130_doberm","Dobermann","精英化晋升2","Elite 2","我肩负着为罗德岛培养未来人才的重任，因此，为了配得上这份职责，我会尽我所能。","My heart and mind is filled with nothing more than the idea of raising the future talent of Rhodes Island. I intend of carrying the burden of this job myself.","ロドスの未来を担う人材を育てるという責は、何よりも思いと心入れている。この仕事に、自分のすべてをかくつもりだ。",
"char_130_doberm","Dobermann","编入队伍","Assign to Team","了解。","Roger.","了解。",
"char_130_doberm","Dobermann","任命队长","Assign to Team Leader","那么，请给我看一下任务简报。","Well then, show me the investigative report of this mission.","では、本任務の調査報告書を見せてくれ。",
"char_130_doberm","Dobermann","行动出发","Operation Sortie","通知全体人员，这一次，不是训练！","Everyone, what comes next is not a training exercise!","僧院に次ぐ、これは訓練ではない！",
"char_130_doberm","Dobermann","行动开始","Operation Start","审问时间到了。","It's time for interrogation.","拷問の時間だ。",
"char_130_doberm","Dobermann","选中干员1","Selected Operator 1","待命中。","Standing by.","待機中だ。",
"char_130_doberm","Dobermann","选中干员2","Selected Operator 2","请给我命令。","Awaiting orders.","命令を。",
"char_130_doberm","Dobermann","部署1","Deploy 1","了解。","Roger.","了解。",
"char_130_doberm","Dobermann","部署2","Deploy 2","开始追踪。","Commencing pursuit.","追跡開始。",
"char_130_doberm","Dobermann","作战中1","In Combat 1","你们这些恶徒。","You devils...","悪と共が。。。",
"char_130_doberm","Dobermann","作战中2","In Combat 2","接招！","Eat this!","食らえ！",
"char_130_doberm","Dobermann","作战中3","In Combat 3","撕裂！","I'll split you apart!","引き裂け！",
"char_130_doberm","Dobermann","作战中4","In Combat 4","坚持住！","Hold it together!","しっかりしろ！",
"char_130_doberm","Dobermann","4星结束行动","Complete Operation with 4 stars","不管局面有多艰难，只要牢记最基础的战斗方法，关键时刻就能救下自己的命。","No matter what position you're in, if you fight without forgetting the basics, you can make it out.","どんなにも厳しい局面でも、基本を忘れずに戦えば、命を救われる事もある。",
"char_130_doberm","Dobermann","3星结束行动","Complete Operation with 3 stars","磨练好技巧再来吧，废物们。","Come back after you've gotten stronger, worthless scum.","腕を磨いて出直すだな、このろくでなし共め。",
"char_130_doberm","Dobermann","非3星结束行动","Complete Operation with 2 stars","虽然作战是成功的，但细节仍有改善的余地。","The operation succeeded, but we still have places to improve upon.","作戦は成功したものの、まだまだ改善の余地ありだな。",
"char_130_doberm","Dobermann","行动失败","Failed Operation","这次作战失败，责任由我承担。","The failure of the operation is entirely my responsibility.","作戦の失敗は、すべて私の責任だ。",
"char_130_doberm","Dobermann","进驻设施","Assign to Station","新人们有点害怕我？这是理所当然的。","The recruits are all afraid of me? Well, if you say it like it's obvious, I suppose it is.","見習い達が私を怖がっている？当然といえば、当然か。",
"char_130_doberm","Dobermann","戳一下","Poke","请注意自己的言行举止。","Watch your behaviour!","立ち振る舞いには気をつけろ。",
"char_130_doberm","Dobermann","信赖触摸","Poke with Trust Bubble","让我心情变好的方法啊......哼，也许，参与一场审讯也可以。","A way to improve my mood? Ufu, well then ","私の期限をよくする方法か。。。うふん、では取り調べをさせてくれ。",
"char_130_doberm","Dobermann","标题","Title Screen","明日方舟。","Arknights.","アークナイツ。",
"char_130_doberm","Dobermann","问候","Greeting","早上好，博士。","Good morning, Doctor.","おはよう、ドクター。",
"char_134_ifrit","Ifrit","任命助理","Assign Secretary","这个办公室怎么这么冷！喂，那个能烧吗？",,,
"char_134_ifrit","Ifrit","交谈1","Conversation 1","欸？这本书很贵吗？嘻嘻，叫我一声伊芙利特大人，我就还给你！",,,
"char_134_ifrit","Ifrit","交谈2","Conversation 2","什么？要我读这本书？我最讨厌的就是......唔？赫、赫默是这样说的吗？呃......这、这个字怎么念啊？",,,
"char_134_ifrit","Ifrit","交谈3","Conversation 3","我最讨厌穿白大褂的家伙盯着我看......就是在说你啊！在说你！别看了，脸转过去！",,,
"char_134_ifrit","Ifrit","晋升后交谈1","Elite Promotion Conversation 1","唔呃......我知道啦，不会再用火吓唬大家了。",,,
"char_134_ifrit","Ifrit","晋升后交谈2","Elite Promotion Conversation 2","退后面去！你......靠近我是想干什么？难道你也想把我放到试验台上......？",,,
"char_134_ifrit","Ifrit","信赖提升后交谈1","High Trust Conversation 1","塞雷娅来了吗？让我去见——赫默不准？无所谓的吧？你带我偷偷过去不就好了吗？",,,
"char_134_ifrit","Ifrit","信赖提升后交谈2","High Trust Conversation 2","赫默和塞雷娅，她们究竟为什么吵架？真搞不懂......喂！有没有什么阻止她们的办法？告诉我吧......？",,,
"char_134_ifrit","Ifrit","信赖提升后交谈3","High Trust Conversation 3","你怎么对待我都无所谓，对赫默绝对要温柔。她想要什么你都帮她尽力实现！如果你真能做到，从今以后，我就都听你的！",,,
"char_134_ifrit","Ifrit","闲置","Idle","你这家伙，把我晾在一边一个人睡大觉，胆子很大啊！",,,
"char_134_ifrit","Ifrit","干员报到","Operator Reporting In","我就是伊芙利特！赫默说罗德岛是个好地方，但我不喜欢你们这些穿白大衣的家伙......除了赫默之外。",,,
"char_134_ifrit","Ifrit","观看作战记录","Watching Combat Tape","强化？唔，就是我的火焰能烧得更旺，这种感觉？",,,
"char_134_ifrit","Ifrit","精英化晋升1","Elite 1","这是什么？罗德岛干员晋升手册？干什么啊，晋升之后还有这么多麻烦规矩？我才不干！",,,
"char_134_ifrit","Ifrit","精英化晋升2","Elite 2","嘻嘻，这就对了嘛！那些条条框框我都不懂。反正你需要我的帮助，光这一句就够了！",,,
"char_134_ifrit","Ifrit","编入队伍","Assign to Team","知道啦知道啦！",,,
"char_134_ifrit","Ifrit","任命队长","Assign to Team Leader","我是队长？像赫默那样做就行了吗？",,,
"char_134_ifrit","Ifrit","行动出发","Operation Sortie","喂，说好了我是队长，我来下出击命令才对吧！",,,
"char_134_ifrit","Ifrit","行动开始","Operation Start","哟，来一次久违的BBQ吧！",,,
"char_134_ifrit","Ifrit","选中干员1","Selected Operator 1","喂！",,,
"char_134_ifrit","Ifrit","选中干员2","Selected Operator 2","真慢！",,,
"char_134_ifrit","Ifrit","部署1","Deploy 1","大地，沸腾吧！",,,
"char_134_ifrit","Ifrit","部署2","Deploy 2","地狱，随时填装！",,,
"char_134_ifrit","Ifrit","作战中1","In Combat 1","疼吗？疼吗！",,,
"char_134_ifrit","Ifrit","作战中2","In Combat 2","哈哈！再多叫几声！",,"あははっ！もっと声を上げろ！",
"char_134_ifrit","Ifrit","作战中3","In Combat 3","没人在乎你的惨叫！",,,
"char_134_ifrit","Ifrit","作战中4","In Combat 4","排好队！",,"そこに並びやがれ！",
"char_134_ifrit","Ifrit","4星结束行动","Complete Operation with 4 stars","不够！完全不够！根本没人能打败我！",,,
"char_134_ifrit","Ifrit","3星结束行动","Complete Operation with 3 stars","这么多废弃物，一把火烧个干净吧？会很暖和的！",,,
"char_134_ifrit","Ifrit","非3星结束行动","Complete Operation with 2 stars","焦炭，满地焦炭，这种战斗我一个人就足够了。",,,
"char_134_ifrit","Ifrit","行动失败","Failed Operation","可恶......你......都是你的原因，让我出丑！",,,
"char_134_ifrit","Ifrit","进驻设施","Assign to Station","这里是什么地方啊？",,,
